,country,f_0-14,f_0-4,f_15-24,f_15plus,f_18plus,f_25-34,f_35-44,f_45-54,f_5-14,f_55-64,f_65plus,f_all,m_0-14,m_0-4,m_15-24,m_15plus,m_18plus,m_25-34,m_35-44,m_45-54,m_5-14,m_55-64,m_65plus,m_all
99,KM,10,5,13,102,3,23,23,15,5,8,20,110,8,0,28,215,6,43,38,33,8,18,28,190
100,KN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,2
101,KP,5300,1900,5500,46000,1300,9000,12000,11000,3500,5500,2000,50000,5700,2300,8000,101700,2200,14000,20000,22000,3400,12000,3600,85000
102,KR,31,5,430,11860,350,860,880,1000,26,1300,5500,10000,27,4,480,22900,700,1000,1200,2300,22,3300,6800,15000
103,KW,7,5,28,293,25,92,92,49,2,18,8,290,8,5,31,577,43,150,130,110,3,43,25,500
104,KY,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,2,,0,0,0,0,1,1,2
105,KZ,350,140,800,6210,320,1200,1200,970,220,800,790,6100,380,160,780,9000,380,1300,1400,1200,210,1100,770,6900
106,LA,360,180,240,3800,140,490,530,650,180,740,820,3800,390,210,550,9300,260,1100,1100,1200,180,1300,1400,7000
107,LB,26,13,86,571,27,260,66,34,13,22,17,510,30,17,66,455,20,90,55,47,13,25,40,350
108,LC,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,3,0,0,1,2,0,0,1,3
109,LK,390,180,460,3974,160,510,590,600,210,680,1100,4300,420,210,700,11400,310,1100,1500,1600,210,1800,2400,9500
110,LR,1200,640,880,5315,230,1000,1200,870,600,610,540,6300,1400,770,1400,10470,350,1800,2000,1400,590,950,760,9600
111,LS,530,270,270,3927,200,740,840,520,260,580,800,4300,580,330,750,13100,330,2000,2500,1300,250,1200,1300,9600
112,LT,8,1,12,211,6,26,37,31,7,33,44,190,7,2,14,865,24,61,97,170,5,160,93,600
113,LU,0,0,0,2,0,0,1,1,0,0,0,2,0,0,8,43,1,15,3,3,0,1,3,34
114,LV,5,3,17,156,4,31,21,16,2,20,21,130,3,2,14,483,11,44,64,84,1,55,36,300
115,LY,180,74,220,1403,120,230,300,250,100,170,250,1600,190,90,480,2327,170,440,420,380,100,230,300,2400
116,MA,2100,790,3400,13103,880,3000,2100,1400,1300,1400,1300,15000,2200,960,4300,22090,1400,5400,3400,2200,1300,2000,1800,21000
117,MC,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
118,MD,67,28,90,867,33,200,170,130,39,110,97,860,72,33,130,2910,77,370,520,500,38,350,180,2100
119,ME,0,0,2,28,0,5,7,2,0,0,10,27,0,0,12,84,2,10,7,10,0,15,17,72
120,MG,4000,1900,4800,22550,610,5000,4700,3400,2100,2300,2000,26000,4300,2300,6200,45500,1200,8000,7900,5900,2100,4000,3100,40000
121,MH,56,29,17,95,9,17,23,10,27,17,10,150,49,33,12,86,7,19,10,19,16,17,8,130
122,MK,10,3,16,76,2,10,10,5,7,14,17,83,7,3,14,187,5,29,33,36,3,28,17,160
123,ML,410,190,640,3537,120,820,760,560,210,410,350,3900,440,230,990,7140,260,1400,1300,980,210,770,720,6600
124,MM,12000,5400,8900,52490,2400,9400,8000,8100,6600,8000,7700,62000,13000,6500,9900,120200,3900,17000,20000,18000,6400,15000,13000,105000
125,MN,1100,540,580,3550,220,780,530,560,570,430,310,4300,1200,650,1700,13000,560,2300,1600,1500,560,1000,640,10000
126,MO,3,0,15,150,,29,29,20,3,25,29,150,0,0,10,270,,36,18,26,0,78,99,270
127,MP,0,0,1,16,,2,3,3,0,3,2,16,1,0,2,30,,2,3,5,1,12,6,31
128,MR,170,79,270,1403,67,290,290,220,89,170,150,1600,180,95,400,2338,98,500,470,350,87,300,270,2500
129,MS,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0
130,MT,2,1,10,30,0,14,4,0,1,0,0,30,6,4,64,160,5,40,6,11,2,2,1,130
131,MU,2,2,9,48,2,8,14,2,0,9,5,48,3,2,12,128,6,22,27,23,2,19,3,110
132,MV,4,2,11,63,3,19,13,11,2,6,2,66,2,2,15,140,6,42,32,19,0,11,15,140
133,MW,2000,980,1100,10010,330,2200,2500,1400,1000,1100,1300,12000,2200,1200,1600,16300,480,3200,3600,2000,1000,1400,1400,15000
134,MX,910,420,1700,11520,620,1900,1800,1900,500,1700,1700,12000,990,500,2600,21700,940,3400,3300,3500,490,2700,2600,19000
135,MY,750,300,2000,11313,570,2000,1600,1700,460,1600,1800,11000,810,360,2200,23300,970,3100,3200,3100,450,3000,2900,18000
136,MZ,8700,3200,3400,42990,1500,9700,11000,5900,5500,4800,6800,50000,9200,3800,7600,71600,2000,14000,13000,8300,5400,6000,6700,65000
137,NC,0,0,1,13,,1,0,1,0,4,5,13,0,0,1,17,,1,0,1,0,5,8,17
138,NE,1000,530,1200,6304,180,1500,1300,950,490,710,690,7300,1100,630,2000,13320,360,2800,2400,1700,480,1400,1300,13000
139,NG,37000,19000,24000,127660,4700,30000,30000,20000,18000,13000,10000,164000,40000,23000,48000,267200,8700,59000,59000,40000,17000,25000,18000,288000
140,NI,100,49,220,1085,56,210,180,140,52,130,120,1100,110,59,290,1900,72,380,310,220,51,200,190,1700
141,NL,17,3,43,325,4,82,63,34,14,30,37,310,5,3,60,459,9,110,63,51,1,45,66,400
